epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,7165.95,1.6602,1.01619,1.17405,0.47691,0.49927,0.45968,0.22022,1.66515,1.05299,1.2044,0.00058175,0.00058175,0.00058175
56,7248.96,1.65717,1.0083,1.17259,0.47398,0.49609,0.45322,0.21646,1.66883,1.0559,1.21333,0.000569375,0.000569375,0.000569375
57,7331.06,1.65565,1.00939,1.17302,0.47125,0.50232,0.45334,0.21657,1.6605,1.05215,1.20862,0.000557,0.000557,0.000557
58,7413.61,1.65877,1.01217,1.17229,0.46772,0.49861,0.44714,0.21357,1.66911,1.0509,1.21091,0.000544625,0.000544625,0.000544625
59,7495.45,1.65294,1.0036,1.17316,0.47688,0.49842,0.45723,0.21908,1.66197,1.05105,1.20888,0.00053225,0.00053225,0.00053225
60,7585.53,1.65409,1.0102,1.17649,0.45998,0.50876,0.45416,0.21704,1.6719,1.04655,1.21302,0.000519875,0.000519875,0.000519875
61,7673.66,1.65324,1.00209,1.1707,0.48195,0.50172,0.46101,0.22044,1.66637,1.04934,1.21063,0.0005075,0.0005075,0.0005075
62,7766.62,1.64659,0.99782,1.16623,0.47121,0.49506,0.44828,0.21393,1.66794,1.05516,1.20927,0.000495125,0.000495125,0.000495125
63,7854.45,1.64955,0.99727,1.16962,0.48152,0.50626,0.45895,0.21986,1.6664,1.04964,1.20794,0.00048275,0.00048275,0.00048275
64,7941.34,1.63939,0.99264,1.16478,0.46776,0.5057,0.4509,0.21514,1.67023,1.05077,1.21031,0.000470375,0.000470375,0.000470375
65,8026.82,1.63973,0.98081,1.16371,0.47067,0.50486,0.45632,0.21804,1.66603,1.05018,1.20942,0.000458,0.000458,0.000458
66,8120.71,1.64213,0.98506,1.16296,0.47038,0.5009,0.45608,0.21792,1.66841,1.04639,1.21124,0.000445625,0.000445625,0.000445625
67,8216.95,1.62621,0.98144,1.16406,0.48658,0.50474,0.45925,0.21994,1.66556,1.04256,1.212,0.00043325,0.00043325,0.00043325
68,8302.2,1.6375,0.98408,1.16308,0.4731,0.49732,0.45514,0.21755,1.66995,1.04444,1.2114,0.000420875,0.000420875,0.000420875
69,8383.27,1.63402,0.98313,1.16578,0.47708,0.50165,0.45714,0.21837,1.66775,1.0407,1.21359,0.0004085,0.0004085,0.0004085
70,8465.28,1.63146,0.96995,1.15782,0.47496,0.50408,0.45693,0.21888,1.67033,1.04208,1.21504,0.000396125,0.000396125,0.000396125
71,8547.35,1.62624,0.97327,1.15837,0.47225,0.51071,0.46006,0.22113,1.66863,1.04089,1.20987,0.00038375,0.00038375,0.00038375
72,8629.37,1.6262,0.96923,1.16059,0.48738,0.4926,0.46025,0.22013,1.67246,1.0429,1.21388,0.000371375,0.000371375,0.000371375
73,8711.05,1.62378,0.96678,1.15461,0.48236,0.50263,0.46103,0.22046,1.67203,1.03989,1.21583,0.000359,0.000359,0.000359
74,8812.75,1.61799,0.96181,1.15478,0.48241,0.49739,0.46353,0.22245,1.6697,1.03878,1.21257,0.000346625,0.000346625,0.000346625
75,8895.13,1.61766,0.95969,1.15421,0.48283,0.49532,0.46197,0.22356,1.66681,1.03564,1.21123,0.00033425,0.00033425,0.00033425
76,8977.35,1.61936,0.95885,1.15369,0.48505,0.50547,0.46106,0.22184,1.67107,1.03396,1.21222,0.000321875,0.000321875,0.000321875
77,9059.28,1.61678,0.95214,1.14918,0.49838,0.50183,0.46437,0.22352,1.66866,1.03622,1.2135,0.0003095,0.0003095,0.0003095
78,9140.76,1.61314,0.95336,1.15253,0.47949,0.50187,0.45938,0.22154,1.67096,1.03773,1.21248,0.000297125,0.000297125,0.000297125
79,9223.52,1.61646,0.95583,1.15283,0.48412,0.50316,0.46101,0.22198,1.67314,1.03772,1.21446,0.00028475,0.00028475,0.00028475
80,9306.42,1.60997,0.94757,1.14906,0.47959,0.50163,0.4601,0.22133,1.67498,1.03943,1.21587,0.000272375,0.000272375,0.000272375
81,9388.94,1.60643,0.94622,1.14993,0.48585,0.50237,0.46126,0.2217,1.67274,1.0387,1.21596,0.00026,0.00026,0.00026
82,9471.03,1.60058,0.93962,1.14952,0.47967,0.50512,0.46235,0.2227,1.67542,1.03866,1.21565,0.000247625,0.000247625,0.000247625
83,9553.47,1.60352,0.94076,1.14975,0.48804,0.4995,0.46158,0.22112,1.67662,1.04053,1.21621,0.00023525,0.00023525,0.00023525
84,9635.47,1.60219,0.93932,1.14697,0.47859,0.51306,0.46273,0.22163,1.67811,1.04096,1.21894,0.000222875,0.000222875,0.000222875
85,9718.21,1.60156,0.93477,1.1452,0.47712,0.51459,0.46327,0.22288,1.67604,1.03846,1.21785,0.0002105,0.0002105,0.0002105
86,9799.72,1.59184,0.93258,1.14497,0.478,0.50908,0.46151,0.2209,1.67804,1.03939,1.21925,0.000198125,0.000198125,0.000198125
87,9878.01,1.59114,0.9301,1.1452,0.48557,0.5058,0.46191,0.22148,1.67866,1.03699,1.21789,0.00018575,0.00018575,0.00018575
88,9960.6,1.5958,0.92719,1.14103,0.47979,0.51069,0.46226,0.22121,1.68063,1.03947,1.2184,0.000173375,0.000173375,0.000173375
89,10038.7,1.58644,0.92323,1.14244,0.49035,0.50266,0.46267,0.22187,1.67904,1.03968,1.21746,0.000161,0.000161,0.000161
90,10116.5,1.58334,0.92155,1.14064,0.49713,0.49436,0.46298,0.22168,1.67994,1.03915,1.21807,0.000148625,0.000148625,0.000148625
91,10194,1.57591,0.91041,1.14563,0.499,0.50139,0.46047,0.22006,1.68211,1.04272,1.21928,0.00013625,0.00013625,0.00013625
92,10269.7,1.5698,0.90309,1.14869,0.4908,0.50565,0.46155,0.22004,1.6839,1.04304,1.22006,0.000123875,0.000123875,0.000123875
93,10345.3,1.56594,0.89931,1.14205,0.49118,0.50923,0.46294,0.22068,1.68235,1.04329,1.22052,0.0001115,0.0001115,0.0001115
94,10420.7,1.56142,0.89655,1.14795,0.49408,0.50926,0.46485,0.22226,1.68337,1.04186,1.2233,9.9125e-05,9.9125e-05,9.9125e-05
95,10496.8,1.56385,0.89111,1.13967,0.48875,0.50464,0.46309,0.22201,1.68328,1.04182,1.22351,8.675e-05,8.675e-05,8.675e-05
96,10572.1,1.55963,0.89112,1.14236,0.48414,0.50791,0.46299,0.22154,1.68411,1.0421,1.22363,7.4375e-05,7.4375e-05,7.4375e-05
97,10649.3,1.55622,0.88265,1.13844,0.4839,0.50583,0.46383,0.22235,1.68369,1.04059,1.22354,6.2e-05,6.2e-05,6.2e-05
98,10725.4,1.55486,0.88462,1.1405,0.4906,0.50263,0.46415,0.2227,1.68291,1.0407,1.22273,4.9625e-05,4.9625e-05,4.9625e-05
99,10804.6,1.55717,0.88264,1.13736,0.49331,0.50262,0.46442,0.22234,1.68293,1.04114,1.22356,3.725e-05,3.725e-05,3.725e-05
100,10880.1,1.55198,0.88285,1.14068,0.49401,0.49961,0.46441,0.22239,1.68384,1.04162,1.22416,2.4875e-05,2.4875e-05,2.4875e-05
